Date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,CSCO,ADBE,JPM,V,MA,PG,KO,PEP,JNJ,WMT,DIS,PFE,SAN.MC,BBVA.MC,TEF.MC,ITX.MC,REP.MC,IBE.MC,CABK.MC,SAB.MC,ACS.MC,FER.MC,NFLX,INTC,AMD,QCOM,TXN,HON,AMGN,SBUX,MDLZ,GILD,NKE,ORCL,IBM,GE,CAT,GS,MS,AXP,BAC,C
2019-01-02,37.469207763671875,94.19313049316406,52.30173110961914,76.95649719238281,134.62355041503906,3.373051404953003,20.674667358398438,20.95941162109375,34.47220230102539,224.57000732421875,80.83649444580078,126.0680923461914,181.85244750976562,75.34822845458984,37.582698822021484,86.69366455078125,103.79100036621094,27.91377830505371,105.17747497558594,28.818655014038086,2.9843223094940186,3.037287712097168,4.328746318817139,17.438579559326172,8.969106674194336,5.116016387939453,2.0892820358276367,0.6064241528511047,20.903064727783203,14.8751859664917,26.766000747680664,40.51803970336914,18.829999923706055,47.97514724731445,76.53620910644531,106.3439712524414,152.6100311279297,54.597129821777344,33.40612030029297,48.17807388305664,66.55860137939453,40.50560760498047,80.14334869384766,37.31769561767578,108.02359771728516,144.7537078857422,32.14122772216797,86.62646484375,20.836816787719727,41.436649322509766
2019-01-03,33.73699951171875,90.72796630859375,50.85319900512695,75.01399993896484,130.7142333984375,3.1692616939544678,20.02400016784668,19.095054626464844,33.218505859375,215.6999969482422,79.68769073486328,121.52499389648438,173.64828491210938,74.81998443603516,37.35044479370117,85.88448333740234,102.14173126220703,27.770233154296875,102.62935638427734,28.01239585876465,3.0083322525024414,3.04542875289917,4.400637626647949,17.189790725708008,8.981707572937012,5.124790668487549,2.0879464149475098,0.6043645739555359,20.953371047973633,14.950777053833008,27.1200008392334,38.289039611816406,17.049999237060547,46.554298400878906,72.02264404296875,104.92425537109375,150.287841796875,52.228885650634766,33.2805061340332,49.552642822265625,65.38130187988281,40.111473083496094,78.54339599609375,37.36404800415039,103.86092376708984,142.63323974609375,31.568424224853516,84.93556213378906,20.50289535522461,40.685794830322266
2019-01-04,35.177207946777344,94.94763946533203,53.461639404296875,78.76950073242188,136.8758544921875,3.372309684753418,21.179332733154297,19.28272247314453,34.714839935302734,226.19000244140625,82.62541961669922,126.76045989990234,181.87158203125,76.3470458984375,38.09521484375,87.6456527709961,103.85597229003906,27.94368553161621,105.7951889038086,28.652084350585938,3.120877265930176,3.1590793132781982,4.4579176902771,17.796215057373047,9.19593334197998,5.162805557250977,2.16807222366333,0.6324747800827026,21.267797470092773,15.131362915039062,29.756999969482422,40.63853454589844,19.0,47.306514739990234,75.28018951416016,108.5946044921875,155.42526245117188,53.96051025390625,34.20171356201172,51.8309211730957,67.0888442993164,41.84026336669922,81.61111450195312,38.15211868286133,109.53651428222656,147.2948760986328,32.85725784301758,88.76280975341797,21.354402542114258,42.675193786621094
2019-01-07,35.098907470703125,95.06874084472656,53.355018615722656,81.47550201416016,136.97509765625,3.550842046737671,22.33066749572754,19.67544174194336,34.949398040771484,229.25999450683594,82.68285369873047,129.04623413085938,183.27090454101562,76.04164123535156,37.59870910644531,86.8919906616211,103.18976593017578,28.272640228271484,106.71212768554688,28.805328369140625,3.138509750366211,3.1480069160461426,4.498248100280762,17.9361572265625,9.120322227478027,5.202282428741455,2.1807589530944824,0.6345945596694946,21.33696746826172,15.244754791259766,31.534000396728516,40.8278694152832,20.56999969482422,47.172794342041016,76.57672882080078,109.19960021972656,157.51675415039062,53.96051025390625,34.436195373535156,52.06633758544922,68.05046844482422,42.50311279296875,82.18849182128906,40.51634216308594,109.6048812866211,148.11109924316406,33.18343734741211,89.24462890625,21.337703704833984,43.04674530029297
2019-01-08,35.768009185791016,95.7580337524414,53.823646545410156,82.8290023803711,141.4202117919922,3.4624428749084473,22.356666564941406,19.51753044128418,35.23248291015625,232.67999267578125,82.52692413330078,129.7481231689453,184.6054229736328,76.32228088378906,38.02313995361328,87.7249755859375,105.58653259277344,28.47001838684082,107.54219818115234,28.938594818115234,3.1643941402435303,3.1747097969055176,4.491233825683594,18.324893951416016,9.12977409362793,5.183274745941162,2.184765338897705,0.6352009177207947,21.557071685791016,15.391744613647461,32.027000427246094,41.08605194091797,20.75,46.76325607299805,76.47950744628906,108.97374725341797,159.5367431640625,54.0029411315918,35.24015808105469,51.70940399169922,68.95818328857422,42.88828659057617,83.3571548461914,39.68191909790039,110.92121124267578,147.5641632080078,32.976593017578125,89.68096923828125,21.295961380004883,42.930633544921875
2019-01-09,36.375396728515625,97.12733459472656,53.6391716003418,82.97100067138672,143.10696411132812,3.5305371284484863,22.568666458129883,20.361663818359375,35.03837203979492,235.42999267578125,82.38743591308594,131.2750701904297,187.95611572265625,75.07585906982422,37.29438781738281,85.27363586425781,104.74967193603516,28.377309799194336,108.74870300292969,28.878625869750977,3.150888681411743,3.2176952362060547,4.399468421936035,18.534809112548828,9.258938789367676,5.127251148223877,2.1674046516418457,0.6342921257019043,21.7457275390625,15.458934783935547,31.996000289916992,41.31842041015625,20.190000534057617,47.31488800048828,77.98670959472656,109.4819564819336,159.3458709716797,54.223636627197266,35.114532470703125,51.595489501953125,68.83235168457031,42.7987060546875,83.95538330078125,39.40376663208008,111.34858703613281,148.48971557617188,33.207298278808594,89.8446044921875,21.504669189453125,43.642791748046875
2019-01-10,36.491661071777344,96.50324249267578,53.49932861328125,82.81099700927734,143.0771942138672,3.596155881881714,22.99799919128418,20.62952995300293,34.973655700683594,237.77000427246094,82.37921905517578,131.52163696289062,189.0890655517578,75.25745391845703,37.69480514526367,85.79722595214844,105.38336181640625,28.398250579833984,108.8741683959961,28.192306518554688,3.2079124450683594,3.2460267543792725,4.477790355682373,18.278242111206055,9.309346199035645,5.155635833740234,2.1520471572875977,0.6245988607406616,21.563358306884766,15.647917747497559,32.465999603271484,41.79176330566406,19.739999771118164,47.47367858886719,79.18598937988281,111.11949157714844,161.18287658691406,54.486778259277344,35.4578971862793,51.671451568603516,68.67955780029297,42.83454132080078,84.72056579589844,41.44349670410156,113.64788055419922,148.09423828125,33.14365768432617,89.3264389038086,21.47962188720703,43.68923568725586
2019-01-11,36.13339614868164,95.7580337524414,52.78721618652344,82.02799987792969,142.68032836914062,3.685298442840576,23.150667190551758,20.716341018676758,35.175872802734375,237.5500030517578,81.98534393310547,130.94313049316406,188.0809326171875,75.75273132324219,37.91102981567383,85.8051528930664,105.41587829589844,28.362356185913086,108.72938537597656,28.57211685180664,3.2135391235351562,3.279892921447754,4.483051300048828,18.231595993041992,9.293594360351562,5.161611557006836,2.169407844543457,0.6215694546699524,21.7708797454834,15.58492660522461,33.75899887084961,42.11020278930664,20.270000457763672,48.05873489379883,79.89099884033203,110.80491638183594,159.49697875976562,54.0963134765625,35.36577224731445,51.76258087158203,68.33805847167969,43.255550384521484,84.49101257324219,41.44349670410156,112.91280364990234,148.87677001953125,33.207298278808594,89.59007263183594,21.730060577392578,43.88276290893555
2019-01-14,35.590057373046875,95.0594482421875,52.1445198059082,80.8604965209961,144.2579345703125,3.725165605545044,22.293333053588867,20.741146087646484,34.949398040771484,234.55999755859375,82.83055114746094,130.03260803222656,187.62966918945312,75.24095153808594,37.75886535644531,85.13875579833984,104.2215805053711,28.39525032043457,108.50739288330078,28.23229217529297,3.18540358543396,3.248957395553589,4.456748962402344,18.04500389099121,9.24318790435791,5.137709617614746,2.1780879497528076,0.6176318526268005,21.456453323364258,15.769716262817383,33.29399871826172,41.61103820800781,20.229999542236328,47.89158248901367,78.05963897705078,111.00656127929688,156.4908905029297,53.79073715209961,35.575138092041016,51.07149887084961,68.38299560546875,43.157005310058594,83.74669647216797,41.258079528808594,112.65633392333984,150.3830108642578,33.7960319519043,89.49007415771484,22.013898849487305,45.61670684814453
2019-01-15,36.31846237182617,97.81664276123047,53.880184173583984,83.72799682617188,147.7902069091797,3.711050271987915,22.961999893188477,21.205793380737305,35.60454177856445,242.36000061035156,83.43778991699219,130.26023864746094,188.6761932373047,75.95083618164062,38.09521484375,86.4636001586914,105.09903717041016,28.784025192260742,107.87036895751953,28.472166061401367,3.1981585025787354,3.249607801437378,4.438045501708984,18.146076202392578,9.224286079406738,5.172069549560547,2.2067995071411133,0.6185408234596252,21.167179107666016,15.702518463134766,35.4640007019043,41.82619857788086,20.3799991607666,46.579368591308594,79.11307525634766,111.13560485839844,158.55857849121094,54.393394470214844,35.96036911010742,52.03596878051758,69.9916763305664,43.507728576660156,84.67884063720703,40.46998596191406,111.70756530761719,151.3842315673828,34.1142578125,89.08100128173828,22.164165496826172,47.513206481933594
