Ticker,Expected_Return_Annualized,Expected_Return_Percent
AAPL,0.6204405634718984,62.04405634718984
MSFT,0.4483885716947534,44.83885716947534
GOOGL,0.23341915978724734,23.341915978724735
AMZN,0.1785489208635798,17.854892086357978
META,0.40430323485502284,40.430323485502285
NVDA,0.537686154666454,53.7686154666454
TSLA,0.29235049738158686,29.235049738158686
AVGO,0.2520734775801835,25.20734775801835
CSCO,0.1349777786803425,13.49777786803425
ADBE,0.3753913394313227,37.53913394313227
JPM,0.3612446303248361,36.12446303248361
V,0.3443595422010588,34.43595422010588
MA,0.4482921527634571,44.82921527634571
PG,0.3333799819540998,33.33799819540998
KO,0.19165061405097814,19.165061405097813
PEP,0.2470124933752762,24.70124933752762
JNJ,0.15670858356479514,15.670858356479513
WMT,0.25549624736923976,25.549624736923978
DIS,0.288386858393853,28.8386858393853
PFE,-0.06092446310997353,-6.092446310997353
SAN.MC,-0.008821565968800472,-0.8821565968800472
BBVA.MC,0.11492376893541441,11.49237689354144
TEF.MC,-0.11360453923009814,-11.360453923009814
ITX.MC,0.36141482619602877,36.141482619602876
REP.MC,0.04315347512474947,4.315347512474947
IBE.MC,0.30806341215647576,30.806341215647574
CABK.MC,-0.07461762685580958,-7.4617626855809585
SAB.MC,0.08055099590924962,8.055099590924963
ACS.MC,0.11944426386734444,11.944426386734444
FER.MC,0.4408146494837977,44.081464948379775
NFLX,0.1852863008464892,18.52863008464892
INTC,0.2584806759027388,25.84806759027388
AMD,0.8694409764907077,86.94409764907077
QCOM,0.4553533130890836,45.53533130890836
TXN,0.32611373156273477,32.61137315627348
HON,0.3074596735153207,30.745967351532073
AMGN,0.2520685628050194,25.20685628050194
SBUX,0.32345861956187216,32.345861956187214
MDLZ,0.33502235268593067,33.50223526859307
GILD,0.060291308882524965,6.029130888252497
