Ticker,Expected_Return_Annualized,Expected_Return_Percent
AAPL,0.5842901675702376,58.42901675702375
MSFT,0.34483215255125566,34.483215255125565
GOOGL,0.2616413227937065,26.16413227937065
AMZN,0.5514495976371806,55.14495976371806
META,0.2781040146281741,27.810401462817406
NVDA,0.7772478869927054,77.72478869927055
TSLA,2.0746848823968143,207.46848823968142
AVGO,0.3607159138768481,36.07159138768481
CSCO,-0.03452789168952809,-3.452789168952809
ADBE,0.4050791379177608,40.507913791776076
JPM,-0.05539944283050809,-5.53994428305081
V,0.15379257550556208,15.379257550556208
MA,0.1789036914769239,17.89036914769239
PG,0.12878813478238735,12.878813478238735
KO,0.0237322989793131,2.37322989793131
PEP,0.10740975089811536,10.740975089811537
JNJ,0.09999281526227363,9.999281526227364
WMT,0.20396608290939172,20.396608290939174
DIS,0.21922266690795503,21.922266690795503
PFE,0.029416103265496683,2.9416103265496685
SAN.MC,-0.3332161318394889,-33.32161318394889
BBVA.MC,-0.15146013464673783,-15.146013464673782
TEF.MC,-0.5435323993995153,-54.35323993995153
ITX.MC,-0.15195297506762884,-15.195297506762884
REP.MC,-0.42019880149240074,-42.01988014924007
IBE.MC,0.27543216471631443,27.543216471631442
CABK.MC,-0.23954425675631616,-23.954425675631615
SAB.MC,-1.0061505474640202,-100.61505474640202
ACS.MC,-0.18493836557983787,-18.493836557983787
FER.MC,-0.14924415330654991,-14.924415330654991
NFLX,0.4996261821092863,49.962618210928625
INTC,-0.15457009842482675,-15.457009842482675
AMD,0.6743073637451903,67.43073637451903
QCOM,0.5560047763829898,55.60047763829898
TXN,0.26792384292165056,26.792384292165057
HON,0.20120394954676318,20.120394954676318
AMGN,-0.019547527494639498,-1.9547527494639498
SBUX,0.21077441717910123,21.077441717910123
MDLZ,0.0801219788915468,8.012197889154681
GILD,-0.0674798934301199,-6.74798934301199
