Date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,CSCO,ADBE,JPM,V,MA,PG,KO,PEP,JNJ,WMT,DIS,PFE,SAN.MC,BBVA.MC,TEF.MC,ITX.MC,REP.MC,IBE.MC,CABK.MC,SAB.MC,ACS.MC,FER.MC,NFLX,INTC,AMD,QCOM,TXN,HON,AMGN,SBUX,MDLZ,GILD
2019-01-03,-0.10492432590810112,-0.037481606054391416,-0.028086438995661395,-0.025565528700364833,-0.029468851852675206,-0.062319139444252734,-0.031977589194740155,-0.09315840609950797,-0.03704614282442686,-0.04029895595791059,-0.014313398605356211,-0.03670222371844671,-0.046163727843384454,-0.0070353930069256285,-0.006198986479327733,-0.009377631562512603,-0.01601789432853063,-0.005155715795755943,-0.024525144761884027,-0.0283757995396133,0.008013167198206553,0.0026767795966919665,0.016471479241360047,-0.014369322744843814,0.0014039364052164818,0.0017135920336774988,-0.0006394770797818558,-0.0034020483283698716,0.00240375672131442,0.005068822028396647,0.013139040709225528,-0.05658361649853525,-0.09930117963499505,-0.030063772241094164,-0.0607833803361131,-0.01344013981768339,-0.015333450887983048,-0.044345607209077056,-0.003767301527810638,0.02813157696024737
2019-01-04,0.04180322791508856,0.045459927963499604,0.0500213451016557,0.04885111342984534,0.04606082742698037,0.06209921935614758,0.0560942725927254,0.009780104880300677,0.04406013333965716,0.047486825586546086,0.03620224784175491,0.04217921022433735,0.046268942346403164,0.02020431844237318,0.019743859284271525,0.02029883622254473,0.0166436865095321,0.006226556731457421,0.030381028477350143,0.022579071266412818,0.03672828100493219,0.03663893178922179,0.012932325846575084,0.03467015232866976,0.023571341160497233,0.007390465363721419,0.03765739016859549,0.04546273131349751,0.01489453020911819,0.012006328718927525,0.09279290338902829,0.05955306000162704,0.10828882018409774,0.016028679461263254,0.04423644256302074,0.03438301145176389,0.03361258817207602,0.032616780652459695,0.027303922774052816,0.044951309187614634
2019-01-07,-0.0022283675758099455,0.0012746416450323454,-0.001996333267874823,0.03377651087852466,0.0007247969570930908,0.05158689562121896,0.05293512263076508,0.02016175966571945,0.006733985719204724,0.013481341892953339,0.0006948724729904667,0.01787158133395521,0.0076645660888632035,-0.0040082381141973485,-0.013118962061663377,-0.008636151820922157,-0.0064353766929156056,0.011703306712853724,0.008629768490223622,0.005334190130134571,0.005633948190147594,-0.0035111010708746603,0.009006238507467757,0.007832834807022978,-0.008256222863754027,0.007617313509681049,0.005834563314027657,0.0033459598428336045,0.0032470574144851873,0.00746589172569691,0.058001943989859694,0.00464817890735577,0.07939470966246118,-0.002830683004303207,0.017076216563636382,0.00555567843934443,0.013366839408943938,0.0,0.006832455339656842,0.004531723320757885
2019-01-08,0.018883891950947744,0.0072243101845099475,0.008744854498934041,0.016475884077589695,0.03193654341120555,-0.02521039846889806,0.001163599158188828,-0.008058187289772938,0.008067221932860288,0.01480738083846251,-0.0018876559702112729,0.005424312696704091,0.007255287643140632,0.003683811257963575,0.011225203010540575,0.009540782443439937,0.02296115008702885,0.006956986488555379,0.00774849838209275,0.004615782171598484,0.008213526921614046,0.00844669809989806,-0.0015605517822800722,0.021441828388924177,0.00103581557364796,-0.003660411031132092,0.0018354665602679176,0.0009550484439200871,0.01026278493400724,0.009595805861427916,0.015512968986712394,0.006303772944120732,0.008712557847805709,-0.008719567450955198,-0.001270400866485111,-0.002070399978750978,0.012742432193757825,0.0007860230351221982,0.023078084593989374,-0.006878967971481826
2019-01-09,0.016838736310494914,0.014198317449454993,-0.0034332828685968795,0.0017128868892680703,0.011856667640394303,0.019475647247482325,0.009437947481978803,0.04234084959927425,-0.005524662086965218,0.01174951068198068,-0.0016916447232323334,0.011699837244009715,0.01798781004863279,-0.01646585586191473,-0.019352065872181832,-0.028341311891369993,-0.007957403952043841,-0.003261672018538317,0.011156431724240579,-0.0020744328127852716,-0.004277078256531911,0.013449112502997003,-0.020643737714696065,0.011390077135939938,0.014048489514621463,-0.010867369842348446,-0.007977987704984353,-0.0014317402979745163,0.00871338806077115,0.004355837721251812,-0.0009684063353650574,0.005639720236280453,-0.027358787900370746,0.01172723494877418,0.01951559393233138,0.0046527523579320065,-0.0011971315256269256,0.0040784030334295686,-0.0035712116102199084,-0.002205404450169857
2019-01-10,0.003191138641658257,-0.006446236669457443,-0.0026105100631071895,-0.0019302905505940288,-0.00020804713819621307,0.018415443954298675,0.018844716086450743,0.013069633887560767,-0.0018487211306990798,0.009890239586297617,-9.973933037060781e-05,0.0018764835182489576,0.006009641789093007,0.0024158974926744596,0.010679435734631947,0.0061213431355517,0.006031339195314881,0.0007376688648931229,0.0011530535017827465,-0.024052609973970764,0.017935862815424072,0.008766373198711616,0.017645980144439022,-0.01393914098615519,0.005429422644884934,0.005520775957328948,-0.0071108833924969144,-0.01539999354343393,-0.008421803717138045,0.012150717497677216,0.014582471621224093,0.01139085470433539,-0.02254043636582557,0.003350419626161982,0.015260959041859477,0.014846368304222823,0.01146247094897966,0.004841157975306258,0.00973092259113173,0.0014711790542787846
2019-01-11,-0.009866231931623318,-0.007752080779997513,-0.013400060821237141,-0.00950021578853727,-0.0027776423612626876,0.02448604656332925,0.006616379981298151,0.004199267844715879,0.0057653320411423185,-0.0009256973534600113,-0.004792710409763176,-0.004408267152713618,-0.005345787524380355,0.006559546693840751,0.005719803505240542,9.238730811242012e-05,0.00030850661257400514,-0.0012647644467171687,-0.0013307047506778793,0.013382184784436082,0.0017524635502437999,0.010379064643635721,0.0011742077749040394,-0.002555264332408289,-0.0016934787700165516,0.001158395007603543,0.008034692317064333,-0.004861962867842827,0.009577785802658993,-0.004033652969221011,0.039053639319742484,0.007590787856449337,0.026494960636706397,0.012248484007153409,0.008863809708888695,-0.0028349779899827536,-0.010514619682900243,-0.007192030721305651,-0.0026015311451606797,0.0017620762607365012
2019-01-14,-0.01515122719200707,-0.007322061102888654,-0.012249953010059138,-0.014335246209543026,0.010996247636383625,0.010759797786659454,-0.037735932883165346,0.0011966510110044098,-0.006459170756338243,-0.012666732189896692,0.010256469780893366,-0.0069778605518276155,-0.002402187441961382,-0.00677884975405821,-0.0040218019064509215,-0.007796715023220783,-0.011394058276554398,0.0011591094208903735,-0.002043784406374483,-0.011964871614031038,-0.00879386507913543,-0.009476632457335252,-0.005884340313760549,-0.010287278752790332,-0.005438546940500975,-0.00464146750979418,0.003993157051305242,-0.006355085767458075,-0.014547830976142099,0.011787204714401343,-0.013869852914337679,-0.011924584257480109,-0.0019753544955255775,-0.0034841484309189904,-0.023190054311076663,0.00181816518365694,-0.019027179463389835,-0.0056647603179690335,0.0059025589490476205,-0.01344092165900667
2019-01-15,0.020259905683376673,0.028592267088063766,0.03274367904682776,0.034848007027612496,0.024190837684822677,-0.0037963799713981766,0.029553003459965647,0.022154955976657252,0.01857196267868141,0.03271281830532034,0.007304354701631051,0.001749035182235943,0.005562107053716819,0.009390587556480368,0.008868387589882941,0.015441171263484396,0.008383902307045976,0.013598663482903667,-0.005888089060607926,0.008460545235072784,0.003996180797808457,0.00020016907309377806,-0.004205490826086777,0.005585496421198745,-0.002047040279386814,0.006665527671170715,0.013095874414112349,0.0014706214014107986,-0.013573627614084722,-0.004270297446803056,0.06314095516053211,0.005157429825902174,0.00738735806362225,-0.027782049052252764,0.013405024646034136,0.0011618108876896537,0.013126304788450125,0.011141440858991464,0.010770448330016853,0.018708597209865334
2019-01-16,0.012142560857272673,0.0035173944910574808,0.002757239407275846,0.005490895184266011,-0.009511223795054978,-0.006896137787609815,0.004692387937454119,-0.018851984300235554,-0.0013637598221442498,-0.0016931459690039613,0.00803222290260935,0.0,0.006340428874235133,-0.006979984602593889,-0.013758353074691079,-0.0059815223065148885,-0.010256592217388425,0.00103854847808788,-0.007634745384222063,-0.014616048493748356,0.010037387404862923,0.02386366589562154,0.0032870765567247517,-0.011202472223871768,0.0006826402681255748,-0.0008667286564638825,0.01680221517210386,0.04687615044832796,0.014159711354987512,0.009052098537008802,-0.009206494215891063,-0.009718016828675353,-0.03241368978219286,-0.008288378099709707,-0.004722639755478226,0.0018133767859387323,-0.0024609483641203963,-0.0048492076784090905,-0.006307672652353326,-0.01292601373263634
