Ticker,Expected_Return_Annualized,Expected_Return_Percent
AAPL,0.04505139552780948,4.505139552780948
MSFT,0.06338418897147549,6.338418897147549
GOOGL,-0.01772154935423183,-1.7721549354231831
AMZN,-0.04532679727220333,-4.532679727220333
META,0.024922446686218083,2.4922446686218085
NVDA,0.2551385422826393,25.51385422826393
TSLA,-0.17044538886603794,-17.044538886603792
AVGO,0.2790979655244407,27.90979655244407
CSCO,-0.080836608200188,-8.0836608200188
ADBE,0.024800373530445136,2.4800373530445134
JPM,0.06447807812898197,6.447807812898197
V,0.09714332451637568,9.714332451637569
MA,0.08954172530929749,8.95417253092975
PG,-0.02950358298481499,-2.950358298481499
KO,0.02709376916026398,2.709376916026398
PEP,0.015713767922224054,1.5713767922224053
JNJ,-0.015459997161312312,-1.545999716131231
WMT,0.056904409243498176,5.690440924349818
DIS,-0.26197973334736496,-26.197973334736496
PFE,-0.3135461123624297,-31.354611236242967
SAN.MC,0.1625447282092039,16.25447282092039
BBVA.MC,0.28744645523236756,28.744645523236755
TEF.MC,0.0320697942698638,3.2069794269863796
ITX.MC,0.197435329213565,19.7435329213565
REP.MC,0.17312607774080335,17.312607774080334
IBE.MC,0.10721316534192953,10.721316534192953
CABK.MC,0.2678131383097055,26.78131383097055
SAB.MC,0.3611263393258117,36.11263393258117
ACS.MC,0.3357217740101988,33.57217740101988
FER.MC,0.11408701238315161,11.40870123831516
NFLX,-0.10400879327245427,-10.400879327245427
INTC,0.018276634449591336,1.8276634449591336
AMD,0.011769412602352446,1.1769412602352445
QCOM,-0.09124067895235885,-9.124067895235886
TXN,-0.02034442795379048,-2.034442795379048
HON,0.023467897363695905,2.3467897363695904
AMGN,0.15248569632508338,15.248569632508339
SBUX,-0.07482509176742873,-7.482509176742873
MDLZ,0.0657866729938766,6.57866729938766
GILD,0.09376261681555018,9.376261681555018
